delta,errors_joint,errors_amatch,error_rate_joint,error_rate_amatch,auroc_joint,auroc_amatch,joint_weight_index,joint_lambda_index,amatch_weight_index,amatch_lambda_index,r
0.0,672,672,0.1640625,0.1640625,0.8743311982700146,0.8743323903768369,2,4,2,4,0
0.0,672,672,0.1640625,0.1640625,0.8743569477773765,0.8743323903768369,5,4,2,4,1
0.0,672,672,0.1640625,0.1640625,0.8742458434215373,0.8743323903768369,5,4,2,4,2
0.0,672,672,0.1640625,0.1640625,0.8743395430177707,0.8743323903768369,5,4,2,4,3
0.0,672,672,0.1640625,0.1640625,0.8743886578188498,0.8743323903768369,2,4,2,4,4
0.0,672,672,0.1640625,0.1640625,0.8742608639674985,0.8743323903768369,5,4,2,4,5
0.0,672,672,0.1640625,0.1640625,0.8742591950179472,0.8743323903768369,5,4,2,4,6
0.0,672,672,0.1640625,0.1640625,0.8745941770350159,0.8743323903768369,2,4,2,4,7
0.0,672,672,0.1640625,0.1640625,0.8744103541630159,0.8743323903768369,2,4,2,4,8
0.0,672,672,0.1640625,0.1640625,0.8743731604301598,0.8743323903768369,5,4,2,4,9
0.0,672,672,0.1640625,0.1640625,0.874458038435908,0.8743323903768369,2,4,2,4,10
0.0,672,672,0.1640625,0.1640625,0.8744153610116695,0.8743323903768369,2,4,2,4,11
0.0,672,672,0.1640625,0.1640625,0.8744718668750469,0.8743323903768369,2,4,2,4,12
0.0,672,672,0.1640625,0.1640625,0.8745057227088004,0.8743323903768369,2,4,2,4,13
0.0,672,672,0.1640625,0.1640625,0.8744530315872545,0.8743323903768369,5,4,2,4,14
0.0,672,672,0.1640625,0.1640625,0.874263248181143,0.8743323903768369,5,4,2,4,15
0.0,672,672,0.1640625,0.1640625,0.874259671860676,0.8743323903768369,5,4,2,4,16
0.0,672,672,0.1640625,0.1640625,0.8742868518962247,0.8743323903768369,5,4,2,4,17
0.0,672,672,0.1640625,0.1640625,0.8745369559075449,0.8743323903768369,2,4,2,4,18
0.0,672,672,0.1640625,0.1640625,0.8744601842281883,0.8743323903768369,2,4,2,4,19
0.0,672,672,0.1640625,0.1640625,0.8744372957772001,0.8743323903768369,2,4,2,4,20
0.0,672,672,0.1640625,0.1640625,0.8745321874802557,0.8743323903768369,2,4,2,4,21
0.0,672,672,0.1640625,0.1640625,0.8743674383174128,0.8743323903768369,2,4,2,4,22
0.0,672,672,0.1640625,0.1640625,0.8743674383174128,0.8743323903768369,5,4,2,4,23
0.0,672,672,0.1640625,0.1640625,0.8744959474328575,0.8743323903768369,2,4,2,4,24
0.0,672,672,0.1640625,0.1640625,0.8744871258423723,0.8743323903768369,2,4,2,4,25
0.0,672,672,0.1640625,0.1640625,0.8745097758719963,0.8743323903768369,2,4,2,4,26
0.0,672,672,0.1640625,0.1640625,0.8744284741867149,0.8743323903768369,2,4,2,4,27
0.0,672,672,0.1640625,0.1640625,0.8743579014628343,0.8743323903768369,5,4,2,4,28
0.0,672,672,0.1640625,0.1640625,0.8745555527739731,0.8743323903768369,2,4,2,4,29
0.0,672,672,0.1640625,0.1640625,0.8744334810353686,0.8743323903768369,2,4,2,4,30
0.0,672,672,0.1640625,0.1640625,0.8744980932251378,0.8743323903768369,2,4,2,4,31
0.0,672,672,0.1640625,0.1640625,0.8744380110412934,0.8743323903768369,2,4,2,4,32
0.0,672,672,0.1640625,0.1640625,0.8742129412732416,0.8743323903768369,5,4,2,4,33
0.0,672,672,0.1640625,0.1640625,0.8742422671010702,0.8743323903768369,5,4,2,4,34
0.0,672,672,0.1640625,0.1640625,0.8742909050594205,0.8743323903768369,5,4,2,4,35
0.0,672,672,0.1640625,0.1640625,0.8744220368098744,0.8743323903768369,2,4,2,4,36
0.0,672,672,0.1640625,0.1640625,0.8746442455215527,0.8743323903768369,2,4,2,4,37
0.0,672,672,0.1640625,0.1640625,0.8745932233495578,0.8743323903768369,2,4,2,4,38
0.0,672,672,0.1640625,0.1640625,0.8745100142933608,0.8743323903768369,2,4,2,4,39
0.0,672,672,0.1640625,0.1640625,0.8744587537000016,0.8743323903768369,2,4,2,4,40
0.0,672,672,0.1640625,0.1640625,0.8744487400026941,0.8743323903768369,2,4,2,4,41
0.0,672,672,0.1640625,0.1640625,0.8744990469105955,0.8743323903768369,2,4,2,4,42
