delta,errors_joint,errors_amatch,error_rate_joint,error_rate_amatch,auroc_joint,auroc_amatch,joint_weight_index,joint_lambda_index,amatch_weight_index,amatch_lambda_index,r
0.0,682,682,0.16650390625,0.16650390625,0.8769823413250576,0.8813820462944351,2,4,2,3,0
0.0,682,682,0.16650390625,0.16650390625,0.8826714340868157,0.8813820462944351,2,3,2,3,1
0.0,682,682,0.16650390625,0.16650390625,0.8826616569646614,0.8813820462944351,2,3,2,3,2
0.0,682,682,0.16650390625,0.16650390625,0.8772172307231516,0.8813820462944351,2,4,2,3,3
0.0,682,682,0.16650390625,0.16650390625,0.8772503775519185,0.8813820462944351,2,4,2,3,4
0.0,682,682,0.16650390625,0.16650390625,0.8826213561440747,0.8813820462944351,2,3,2,3,5
0.0,682,682,0.16650390625,0.16650390625,0.8828323989027684,0.8813820462944351,2,3,2,3,6
0.0,682,682,0.16650390625,0.16650390625,0.8766198724061713,0.8813820462944351,2,4,2,3,7
0.0,682,682,0.16650390625,0.16650390625,0.8822960879826529,0.8813820462944351,2,3,2,3,8
7.0,675,682,0.164794921875,0.16650390625,0.9156000661028844,0.8813820462944351,2,1,2,3,9
0.0,682,682,0.16650390625,0.16650390625,0.8827284275549825,0.8813820462944351,2,3,2,3,10
0.0,682,682,0.16650390625,0.16650390625,0.8823621431737921,0.8813820462944351,2,3,2,3,11
0.0,682,682,0.16650390625,0.16650390625,0.8827999674731839,0.8813820462944351,2,3,2,3,12
0.0,682,682,0.16650390625,0.16650390625,0.8827050578483702,0.8813820462944351,2,3,2,3,13
0.0,682,682,0.16650390625,0.16650390625,0.8768495155435974,0.8813820462944351,2,4,2,3,14
-1.0,683,682,0.166748046875,0.16650390625,0.8826731033515737,0.8813820462944351,2,3,2,3,15
0.0,682,682,0.16650390625,0.16650390625,0.876722651421987,0.8813820462944351,2,4,2,3,16
0.0,682,682,0.16650390625,0.16650390625,0.8825345543766572,0.8813820462944351,2,3,2,3,17
0.0,682,682,0.16650390625,0.16650390625,0.8824291522305073,0.8813820462944351,2,3,2,3,18
0.0,682,682,0.16650390625,0.16650390625,0.8770274114735246,0.8813820462944351,2,4,2,3,19
0.0,682,682,0.16650390625,0.16650390625,0.8825159539979249,0.8813820462944351,2,3,2,3,20
0.0,682,682,0.16650390625,0.16650390625,0.8827374892779548,0.8813820462944351,2,3,2,3,21
0.0,682,682,0.16650390625,0.16650390625,0.8825674627390299,0.8813820462944351,2,3,2,3,22
0.0,682,682,0.16650390625,0.16650390625,0.8827565665894751,0.8813820462944351,2,3,2,3,23
0.0,682,682,0.16650390625,0.16650390625,0.882689080599972,0.8813820462944351,2,3,2,3,24
0.0,682,682,0.16650390625,0.16650390625,0.8824599143953339,0.8813820462944351,2,3,2,3,25
0.0,682,682,0.16650390625,0.16650390625,0.8826595107671154,0.8813820462944351,2,3,2,3,26
0.0,682,682,0.16650390625,0.16650390625,0.8826607030990854,0.8813820462944351,2,3,2,3,27
2.0,680,682,0.166015625,0.16650390625,0.8824565758658177,0.8813820462944351,2,3,2,3,28
1.0,681,682,0.166259765625,0.16650390625,0.8829244469308539,0.8813820462944351,2,3,2,3,29
0.0,682,682,0.16650390625,0.16650390625,0.8771678681795928,0.8813820462944351,2,4,2,3,30
0.0,682,682,0.16650390625,0.16650390625,0.8828893923709353,0.8813820462944351,2,3,2,3,31
0.0,682,682,0.16650390625,0.16650390625,0.8769243939913145,0.8813820462944351,2,4,2,3,32
0.0,682,682,0.16650390625,0.16650390625,0.8824413140166015,0.8813820462944351,2,3,2,3,33
0.0,682,682,0.16650390625,0.16650390625,0.8823008573105332,0.8813820462944351,2,3,2,3,34
0.0,682,682,0.16650390625,0.16650390625,0.8828715073913852,0.8813820462944351,2,3,2,3,35
0.0,682,682,0.16650390625,0.16650390625,0.8825734243988798,0.8813820462944351,2,3,2,3,36
0.0,682,682,0.16650390625,0.16650390625,0.8824813763707942,0.8813820462944351,2,3,2,3,37
0.0,682,682,0.16650390625,0.16650390625,0.8824854302994923,0.8813820462944351,2,3,2,3,38
0.0,682,682,0.16650390625,0.16650390625,0.8826194484129226,0.8813820462944351,2,3,2,3,39
1.0,681,682,0.166259765625,0.16650390625,0.8827339122820447,0.8813820462944351,2,3,2,3,40
0.0,682,682,0.16650390625,0.16650390625,0.8772155614583935,0.8813820462944351,2,4,2,3,41
0.0,682,682,0.16650390625,0.16650390625,0.8771077746483038,0.8813820462944351,2,4,2,3,42
0.0,682,682,0.16650390625,0.16650390625,0.8824417909493893,0.8813820462944351,2,3,2,3,43
0.0,682,682,0.16650390625,0.16650390625,0.8825593548816337,0.8813820462944351,2,3,2,3,44
0.0,682,682,0.16650390625,0.16650390625,0.8826609415654794,0.8813820462944351,2,3,2,3,45
0.0,682,682,0.16650390625,0.16650390625,0.8826156329506185,0.8813820462944351,2,3,2,3,46
0.0,682,682,0.16650390625,0.16650390625,0.8769031704822482,0.8813820462944351,2,4,2,3,47
0.0,682,682,0.16650390625,0.16650390625,0.8765805254511605,0.8813820462944351,2,4,2,3,48
0.0,682,682,0.16650390625,0.16650390625,0.8770090495611861,0.8813820462944351,2,4,2,3,49
0.0,682,682,0.16650390625,0.16650390625,0.8825479084947215,0.8813820462944351,2,3,2,3,50
0.0,682,682,0.16650390625,0.16650390625,0.8827479817992911,0.8813820462944351,2,3,2,3,51
0.0,682,682,0.16650390625,0.16650390625,0.877003803300518,0.8813820462944351,2,4,2,3,52
0.0,682,682,0.16650390625,0.16650390625,0.8768836162379399,0.8813820462944351,2,4,2,3,53
0.0,682,682,0.16650390625,0.16650390625,0.8825183386618649,0.8813820462944351,2,3,2,3,54
0.0,682,682,0.16650390625,0.16650390625,0.8771504601328306,0.8813820462944351,2,4,2,3,55
0.0,682,682,0.16650390625,0.16650390625,0.8825724705333039,0.8813820462944351,2,3,2,3,56
0.0,682,682,0.16650390625,0.16650390625,0.882577955260366,0.8813820462944351,2,3,2,3,57
0.0,682,682,0.16650390625,0.16650390625,0.8824830456355524,0.8813820462944351,2,3,2,3,58
0.0,682,682,0.16650390625,0.16650390625,0.8826645185613895,0.8813820462944351,2,3,2,3,59
