delta,correct_pad,correct_amatch,auroc_pad,auroc_amatch,delta_vs_p_only,pad_w0,pad_w1,pad_w2,pad_w3,pad_w4,pad_w5,pad_w6,pad_l0,pad_l1,pad_l2,pad_l3,pad_l4,am_w0,am_w1,am_w2,am_w3,am_w4,am_w5,am_w6,am_l0,am_l1,am_l2,am_l3,am_l4,min_train_pairs,mean_train_pairs,r,kind
0.0,611,611,0.97005721078832,0.9714410431681403,14.0,0,0,0,4,0,1,0,0,0,0,1,4,0,0,0,4,0,1,0,0,0,0,1,4,498,525.6,34,null
0.0,609,609,0.9510829184932017,0.9692956386061371,12.0,0,0,0,3,0,2,0,0,1,0,1,3,0,0,0,5,0,0,0,0,0,0,0,5,498,525.6,35,null
-3.0,599,602,0.9727320008915967,0.974710231072145,2.0,0,0,1,2,0,0,2,0,0,0,1,4,0,0,0,2,0,2,1,0,0,0,3,2,498,525.6,36,null
-6.0,608,614,0.9768742105654209,0.9788245783490601,11.0,0,0,0,2,0,2,1,0,0,1,3,1,0,0,0,1,0,4,0,0,0,0,4,1,498,525.6,37,null
0.0,606,606,0.9685619288208633,0.9696764246972286,9.0,0,0,0,2,0,1,2,0,0,1,1,3,0,0,0,2,0,1,2,0,0,1,1,3,498,525.6,38,null
1.0,610,609,0.9711531317334126,0.9722026153503232,13.0,0,0,0,4,0,0,1,0,0,0,1,4,0,0,0,3,0,0,2,0,0,0,2,3,498,525.6,39,null
-1.0,603,604,0.9762148005052381,0.9781001560294227,6.0,0,0,0,2,0,2,1,0,0,1,3,1,0,0,0,1,0,3,1,0,0,1,3,1,498,525.6,40,null
0.0,616,616,0.9759454640017832,0.9703544096886842,19.0,0,0,0,2,0,2,1,0,0,0,3,2,0,0,0,2,0,3,0,0,0,0,3,2,498,525.6,41,null
-1.0,609,610,0.9761683631770561,0.9771621220001486,12.0,0,0,0,3,0,2,0,0,0,0,2,3,0,0,0,1,0,4,0,0,0,0,4,1,498,525.6,42,null
0.0,610,610,0.9767627609777844,0.9757411397577829,13.0,0,0,0,2,0,3,0,0,0,0,3,2,0,0,0,3,0,2,0,0,0,0,2,3,498,525.6,43,null
-1.0,613,614,0.9755089531168734,0.9746730812095995,16.0,0,0,0,4,0,0,1,0,0,1,0,4,0,0,0,3,0,1,1,0,0,0,1,4,498,525.6,44,null
3.0,616,613,0.9781744557545137,0.9788617282116056,19.0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0,4,1,498,525.6,45,null
4.0,606,602,0.9564046363028458,0.9724812393194145,9.0,0,0,3,0,0,2,0,0,0,2,1,2,0,0,0,2,0,0,3,0,1,0,1,3,498,525.6,46,null
-6.0,615,621,0.9729084627386878,0.9763726874210565,18.0,0,0,1,0,0,4,0,0,0,0,4,1,0,0,0,0,0,5,0,0,0,0,5,0,498,525.6,47,null
-2.0,604,606,0.9715246303588676,0.9741251207370533,7.0,1,0,0,4,0,0,0,0,0,0,4,1,0,0,1,4,0,0,0,0,0,0,4,1,498,525.6,48,null
-3.0,612,615,0.9679675310201352,0.9716175050152315,15.0,0,0,1,4,0,0,0,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,1,4,498,525.6,49,null
0.0,613,613,0.9726948510290513,0.9739115090274165,16.0,0,0,0,4,0,1,0,0,0,0,2,3,0,0,0,5,0,0,0,0,0,0,1,4,498,525.6,50,null
1.0,601,600,0.971311018649231,0.9585128910023033,4.0,0,0,0,4,0,1,0,0,0,0,3,2,0,0,2,3,0,0,0,0,0,0,2,3,498,525.6,51,null
1.0,606,605,0.9751653168883275,0.9734192733486886,9.0,0,0,0,3,0,2,0,0,0,0,4,1,0,0,0,4,0,1,0,0,0,0,3,2,498,525.6,52,null
-1.0,608,609,0.9762333754365109,0.9763633999554202,11.0,0,0,0,3,0,2,0,0,0,0,5,0,0,0,0,3,0,2,0,0,0,0,5,0,498,525.6,53,null
-3.0,605,608,0.9550486663199348,0.9694442380563192,8.0,0,0,0,4,1,0,0,0,0,1,0,4,0,0,0,4,0,0,1,0,0,0,0,5,498,525.6,54,null
0.0,598,598,0.973084924585779,0.9713667434430493,1.0,0,0,1,0,0,2,2,0,0,0,2,3,0,0,0,1,0,1,3,0,0,0,1,4,498,525.6,55,null
1.0,606,605,0.9703358347574114,0.9739486588899621,9.0,0,0,2,0,0,3,0,0,0,0,4,1,0,0,1,1,0,3,0,0,0,0,3,2,498,525.6,56,null
-2.0,612,614,0.9749609926443271,0.9781465933576047,15.0,0,0,0,4,0,0,1,0,0,0,2,3,0,0,0,3,0,2,0,0,0,0,4,1,498,525.6,57,null
2.0,610,608,0.9747845307972361,0.9729827624637788,13.0,0,0,0,2,0,2,1,0,0,0,3,2,0,0,0,1,0,0,4,0,0,0,2,3,498,525.6,58,null
-1.0,611,612,0.9757318522921464,0.9750445798350547,14.0,0,0,0,3,0,1,1,0,0,0,2,3,0,0,0,2,0,2,1,0,0,0,3,2,498,525.6,59,null
2.0,608,606,0.960723307823761,0.9705030091388662,11.0,0,0,1,0,1,2,1,0,0,1,3,1,0,0,3,0,0,0,2,0,0,1,1,3,498,525.6,61,null
-5.0,602,607,0.9632216360799464,0.9713203061148673,5.0,0,0,1,2,0,0,2,0,0,0,1,4,0,0,0,1,0,0,4,0,0,0,0,5,498,525.6,60,null
-1.0,609,610,0.9618842410283082,0.9665929861059513,12.0,0,0,0,1,0,2,2,0,0,1,1,3,0,0,0,0,0,1,4,0,0,0,2,3,498,525.6,62,null
0.0,614,614,0.9730756371201427,0.9730756371201427,17.0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,498,525.6,63,null
1.0,606,605,0.9680418307452262,0.9688034029274092,9.0,0,0,0,2,0,1,2,0,0,0,3,2,0,0,0,2,0,2,1,0,0,0,3,2,498,525.6,64,null
-1.0,607,608,0.9704379968794117,0.9710045322832306,10.0,0,0,0,4,0,0,1,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0,5,498,525.6,65,null
0.0,608,608,0.9741158332714169,0.9741344082026896,11.0,0,0,0,1,0,1,3,0,0,0,1,4,0,0,0,1,0,1,3,0,0,0,1,4,498,525.6,66,null
-3.0,600,603,0.9632402110112193,0.9674288580132253,3.0,0,0,2,3,0,0,0,0,0,1,0,4,0,0,0,4,0,0,1,0,0,1,0,4,498,525.6,67,null
0.0,608,608,0.9772549966565124,0.9792796641652426,11.0,0,0,0,1,0,3,1,0,0,0,3,2,0,0,0,1,0,4,0,0,0,0,4,1,498,525.6,68,null
-1.0,608,609,0.9680325432795899,0.9657292518017684,11.0,0,0,0,1,0,1,3,0,0,0,2,3,0,0,0,0,0,1,4,0,0,0,3,2,498,525.6,69,null
0.0,610,610,0.9740043836837804,0.9757968645516012,13.0,0,0,0,4,0,1,0,0,0,0,2,3,0,0,0,5,0,0,0,0,0,1,1,3,498,525.6,70,null
-1.0,608,609,0.9743480199123262,0.9724162270599598,11.0,0,0,0,3,0,2,0,0,0,0,2,3,0,0,0,1,0,3,1,0,0,0,3,2,498,525.6,71,null
1.0,609,608,0.9730291997919608,0.9742458577903261,12.0,0,0,0,1,0,0,4,0,0,0,0,5,0,0,0,1,0,1,3,0,0,0,1,4,498,525.6,72,null
-3.0,618,621,0.9707537707110483,0.9796511627906976,21.0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,5,0,0,0,0,5,0,498,525.6,74,null
-3.0,610,613,0.9745894940188722,0.9782208930826957,13.0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,0,2,0,3,0,0,0,0,3,2,498,525.6,73,null
-1.0,611,612,0.9713946058399584,0.9712924437179582,14.0,0,0,0,2,0,0,3,0,0,0,0,5,0,0,0,2,0,0,3,0,0,0,0,5,498,525.6,76,null
-3.0,610,613,0.980152685935062,0.9790846273868786,13.0,0,0,0,1,0,3,1,0,0,2,2,1,0,0,0,0,0,5,0,0,0,0,5,0,498,525.6,75,null
1.0,606,605,0.9675867449290438,0.9615777546623077,9.0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,0,0,5,498,525.6,77,null
0.0,604,604,0.968626941080318,0.9682740173861357,7.0,0,0,0,3,0,1,1,0,0,1,1,3,0,0,0,3,0,0,2,0,0,1,0,4,498,525.6,78,null
0.0,613,613,0.976827773237239,0.9774314585036035,16.0,0,0,0,3,0,2,0,0,0,0,2,3,0,0,0,3,0,2,0,0,0,0,3,2,498,525.6,79,null
1.0,617,616,0.9776172078163311,0.9778029571290585,20.0,0,0,0,3,0,2,0,0,0,0,4,1,0,0,0,3,0,2,0,0,0,0,4,1,498,525.6,80,null
-2.0,608,610,0.9768649230997846,0.9773385838472398,11.0,0,0,1,1,0,3,0,0,0,0,3,2,0,0,0,3,0,2,0,0,0,0,2,3,498,525.6,81,null
-6.0,608,614,0.9778308195259677,0.9777007950070584,11.0,0,0,0,4,0,1,0,0,0,1,3,1,0,0,0,1,0,4,0,0,0,0,5,0,498,525.6,83,null
-1.0,613,614,0.970846645367412,0.9712831562523218,16.0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,498,525.6,82,null
-1.0,606,607,0.9675774574634074,0.968821977858682,9.0,0,0,1,3,0,1,0,0,0,0,1,4,0,0,0,2,0,0,3,0,0,0,0,5,498,525.6,84,null
