a,b,fold,target,P_score,covered,n_records,single_a,single_b,z,sd,p,reported_epsilon,epsilon,raw_mask,centered_mask,centered_retain,mask_layout_agreement,retain_layout_agreement,score_inconsistency,single_fitness_missing,pair
AZF1,YOR338W,0,1,3.2926807201937347,True,1.0,0.948,0.9912,0.9285,0.0556,0.4202,-0.0111,-0.011157599999999879,-0.043200000000000016,0.0,-0.07339550862401602,0.0,1.0,False,False,AZF1|YOR338W
BRR1,NAM7,0,-1,-0.5878557322284332,True,2.0,0.799,0.9925,0.97055,0.0259,1.357e-07,0.17754999999999999,0.17754249999999994,0.14959999999999996,0.34309999999999996,0.3109160022372575,1.0,1.0,False,False,BRR1|NAM7
BUD13,OPI3,0,1,5.593888165272491,True,1.0,0.8553,0.412,0.4348,0.0166,0.0001555,0.0824,0.08241640000000006,0.3976999999999999,-0.04560000000000003,0.36965732998367234,1.0,1.0,False,False,BUD13|OPI3
CHL1,GPH1,0,1,7.942710929243812,True,1.0,0.9465,1.014,0.8251,0.0374,0.003257,-0.1346,-0.13465100000000008,-0.0675,-0.026502000000000026,-2.042660174130535,1.0,1.0,False,False,CHL1|GPH1
CPR6,DOA4,0,-1,-2.364174366087608,True,1.0,1.0272,0.3655,0.3583,0.0142,0.2025,-0.0172,-0.017141599999999924,0.6616999999999998,0.01988319999999988,0.1707610871568274,1.0,1.0,False,False,CPR6|DOA4
CPR6,EST3,0,-1,-1.2725400460610907,True,2.0,1.0272,0.9925,1.00905,0.0373,0.278,-0.01045,-0.010445999999999955,0.0008999999999999009,0.020191999999999877,0.11834755639476688,0.0,0.0,False,False,CPR6|EST3
CPR6,INO4,0,-1,-2.5078387479676447,True,2.0,1.0272,0.6017,0.60635,0.0887,0.4215,-0.01175,-0.011716239999999989,0.41389999999999993,0.02113248000000001,0.12732267264341607,1.0,1.0,False,False,CPR6|INO4
CPR6,IRE1,0,-1,-4.437486927774116,True,2.0,1.0272,0.9783,0.95945,0.0465,0.19595,-0.045450000000000004,-0.04545975999999985,0.048899999999999944,0.053219519999999854,0.7137039041289506,1.0,1.0,False,False,CPR6|IRE1
CPR6,NUP133,0,-1,-3.797771746315479,True,2.0,1.0272,0.8825,0.91515,0.0615,0.39915,0.008650000000000001,0.008646000000000154,0.0793999999999998,-0.017292000000000307,-0.13488885974447784,0.0,0.0,False,False,CPR6|NUP133
CPR6,OPI3,0,-1,1.5805039624059969,True,1.0,1.0272,0.412,0.3982,0.0147,0.1015,-0.025,-0.02500639999999993,0.6152,0.02241280000000001,0.25216322780350753,1.0,1.0,False,False,CPR6|OPI3
CPR6,RPN4,0,-1,-0.5646594096261814,True,2.0,1.0272,0.7663,0.80375,0.0335,0.36035,0.01665,0.016606640000000172,0.18599999999999983,-0.033213280000000345,-0.20736996361280766,0.0,0.0,False,False,CPR6|RPN4
CTF8,GPH1,0,1,5.9369873247898,True,2.0,0.8718,1.014,0.85695,0.108,0.36160000000000003,-0.027049999999999998,-0.027055200000000057,-0.1422,-0.024410400000000054,-0.3236701041789817,1.0,1.0,False,False,CTF8|GPH1
CTF8,RTF1,0,-1,-0.159629645973275,True,2.0,0.8718,0.5465,0.5126,0.053,0.19062,0.0361,0.03616130000000001,0.32530000000000003,0.0,0.16604747842455403,0.0,1.0,False,False,CTF8|RTF1
CUP9,OPI3,0,-1,2.032011011268745,True,1.0,0.9433,0.412,0.3994,0.0313,0.3701,0.0108,0.010760400000000003,0.5313000000000001,0.0,0.08859015266394744,0.0,1.0,False,False,CUP9|OPI3
DAL81,GPH1,0,1,6.941463958329154,True,2.0,0.6402,1.014,0.6329,0.0934,0.31835,-0.01625,-0.01626280000000002,-0.3649,-0.009025600000000078,-0.1287939597781005,1.0,1.0,False,False,DAL81|GPH1
DCC1,GPH1,0,1,7.062885774843929,True,2.0,0.916,1.014,0.9289,0.0407,0.37324999999999997,4.99999999999997e-05,7.599999999985396e-05,-0.06900000000000006,0.0033519999999997996,0.0010627207043141101,0.0,0.0,False,False,DCC1|GPH1
DCC1,NAM7,0,-1,-0.5468310669631568,True,2.0,0.916,0.9925,0.9234,0.0459,0.209025,0.014249999999999999,0.014269999999999894,-0.03970000000000007,0.036799999999999944,0.0835694508551313,0.5,0.0,False,False,DCC1|NAM7
DEG1,GPH1,0,1,5.493078654777628,True,1.0,0.796,1.014,0.8028,0.006,0.3301,-0.0044,-0.0043440000000001255,-0.20440000000000014,-0.008688000000000251,-0.04264526943130631,1.0,1.0,False,False,DEG1|GPH1
DLS1,NAM7,0,-1,-1.841072221351208,True,2.0,0.97,0.9925,0.91605,0.1901,0.3096,-0.0467,-0.04667500000000002,-0.018000000000000016,0.0045000000000000595,-0.2748944700129452,0.5,0.0,False,False,DLS1|NAM7
DOA4,HAP4,0,1,3.802764614479519,True,1.0,0.3655,0.8635,0.271,0.0429,0.1565,-0.0446,-0.04460924999999999,-0.49800000000000005,5.551115123125783e-17,0.218273239744426,1.0,1.0,False,False,DOA4|HAP4
DOA4,PHO23,0,-1,-2.473962234684104,True,1.0,0.3655,0.8772,0.3284,0.03,0.4103,0.0078,0.007783400000000051,-0.5117,0.0,-0.04217790533680907,0.0,1.0,False,False,DOA4|PHO23
EST3,GPH1,0,1,4.31142313763865,True,2.0,0.9925,1.014,1.0154,0.0375,0.3937,0.009000000000000001,0.009004999999999819,0.011299999999999977,0.005009999999999737,0.07318240733351068,0.0,0.0,False,False,EST3|GPH1
EST3,HAP4,0,1,2.740309584315235,True,2.0,0.9925,0.8635,0.85095,0.0321,0.0494089,-0.006100000000000001,-0.0060737500000001,0.09140000000000004,-0.03759999999999997,0.02141201149091368,0.5,0.0,False,False,EST3|HAP4
EST3,NAM7,0,-1,-3.366609230234034,True,2.0,0.9925,0.9925,0.99805,0.0257,0.14159,0.01305,0.012993749999999915,0.0,0.0,0.0,0.0,0.0,False,False,EST3|NAM7
