contrast,min,median,max,positive_all,n
M_d,0.14973958333333334,0.17766830870279146,0.2018234562784915,True,30
M_F,0.11171910624715002,0.13359743704571292,0.1525072523829258,True,30
V_F,-0.00045599635202918376,0.0374384236453202,0.06682692307692308,False,30
V_d,-0.012311901504787962,0.021201678154030568,0.05961538461538462,False,30
M_full_d,0.011855905152758778,0.01722438520383726,0.025079799361605107,True,30
M_full_F,-0.00729594163246694,-0.0009852216748768472,0.004559963520291838,False,30
