resampling,contrast,n,mean,q025,q50,q975,positive_fraction
gene,M_full_d,10000,0.018356814351095034,0.005172664928097391,0.01822589880998097,0.03233754266902615,0.9964
gene,M_full_F,10000,-0.0007699729439571778,-0.010661724606689332,-0.0009641166388883526,0.010217096035277845,0.4246
pair,M_full_d,10000,0.017863342075915466,-0.004639013139502376,0.01774595267745953,0.04081632653061224,0.9417
pair,M_full_F,10000,-0.0005936175961157879,-0.023333333333333334,-0.0007407407407407407,0.0224159402241594,0.4692
