resampling,contrast,n,mean,q025,q50,q975,positive_fraction
gene_endpoint_cluster,M_d,10000,0.18101281433163832,0.1238554719881146,0.18088804248946488,0.23896261694523283,1.0
gene_endpoint_cluster,M_F,10000,0.13469956112961054,0.0879615010697806,0.1349938583857952,0.17985059553347102,1.0
gene_endpoint_cluster,V_F,10000,0.0376592646833164,-0.0075214475839475835,0.036058509177979835,0.0903037101348773,0.9442
gene_endpoint_cluster,V_d,10000,0.02167483411563295,-0.02075820246258202,0.02112185068410482,0.06757587338860402,0.8312
unordered_pair_cluster,M_d,10000,0.17944178910548536,0.08810908490380279,0.17767573295655245,0.2806100678142931,0.9999
unordered_pair_cluster,M_F,10000,0.13395705265173227,0.03433569370625578,0.13490047739288252,0.2297324934985628,0.9944
unordered_pair_cluster,V_F,10000,0.037466717183302536,-0.018368081567136308,0.0366051182377713,0.10009939040551283,0.8976
unordered_pair_cluster,V_d,10000,0.02143598812029424,-0.03682694264964673,0.020984263113198648,0.08477569763334511,0.754
