comparison,metric,resampling,point,q025,q50,q975,n,seed
PaD minus J,F_AUROC,gene_endpoint_sum,0.00550696469063816,-0.014641465749460139,0.005655340387727847,0.026184647545241954,10000,20260923
PaD minus J,d_AUROC,gene_endpoint_sum,-0.00647878198898607,-0.03100218930093567,-0.006998727735368956,0.014086227638233185,10000,20260923
PaD minus J,F_AUROC,unordered_pair,0.00550696469063816,-0.02105680490291591,0.00506427736657577,0.0327721176365044,10000,20260924
PaD minus J,d_AUROC,unordered_pair,-0.00647878198898607,-0.038150435327203226,-0.0067870593524517065,0.024324324324324326,10000,20260924
