resampling,contrast,mean,q025,q50,q975,positive_fraction
gene_endpoint,M_full_d_minus_F,0.019126787295052215,0.007515443083698546,0.019133200991341127,0.03100320206076969,0.9981
gene_endpoint,V_F_minus_d,0.015984430567683453,-0.011746435431024741,0.016149827085795057,0.04237476632466741,0.8769
gene_endpoint,combined_selectivity,0.03511121786273567,0.004309384852377147,0.034941097054426634,0.06643121519959441,0.987
pair,M_full_d_minus_F,0.018456959672031256,-0.0018574962452513452,0.018290854572713643,0.03952073155517032,0.9606
pair,V_F_minus_d,0.01603072906300829,-0.024153040004117648,0.015664335664335664,0.05790279695578176,0.7785
pair,combined_selectivity,0.034487688735039546,-0.011825012512512513,0.03389170237631477,0.08302497753905977,0.9278
