q,family,n,correct,accuracy,auroc,average_precision,squared_loss,positive_direction_correct,positive_direction_n
1.0,joint,168,,,0.8811143505021056,0.41536364617690597,0.4743076171259423,20,21
1.0,A_match,168,,,0.8276643990929706,0.3280819597094613,0.6058757472640928,16,21
0.5,joint,168,,,0.7120181405895691,0.26962874038325285,0.6141338049356572,19,21
0.5,A_match,168,,,0.7324263038548753,0.22706490174235505,0.6847507747515529,15,21
0.0,joint,168,,,0.8717201166180758,0.4178245443969232,0.48939676791072384,19,21
0.0,A_match,168,,,0.8075801749271138,0.3214191429760837,0.629710690411957,16,21
