q,deleted_gene,n,auc_joint,auc_additive,gain
1.0,ALG12,146,0.898052217157066,0.8408619975134687,0.05719021964359727
1.0,ALG3,146,0.8740157480314961,0.8280149191877331,0.046000828843763
1.0,ALG5,146,0.8910590277777778,0.8459201388888888,0.04513888888888895
1.0,ALG6,146,0.9024167806657547,0.8440492476060192,0.05836753305973552
1.0,ALG8,146,0.8750569995440036,0.8107615139078888,0.06429548563611487
1.0,ALG9,146,0.8798076923076923,0.8216346153846155,0.05817307692307683
1.0,ANP1,164,0.879491833030853,0.8453720508166969,0.034119782214156125
1.0,BTS1,166,0.8787671232876711,0.8243150684931507,0.05445205479452042
1.0,CWH41,146,0.8802320762536262,0.8317447161210112,0.04848736013261501
1.0,DIE2,146,0.8714090287277702,0.8226174190606476,0.04879160966712259
1.0,DOA4,162,0.878757176629517,0.828774062816616,0.04998311381290099
1.0,GCS1,162,0.8855116514690982,0.8324890239783858,0.053022627490712404
1.0,GOS1,164,0.8777888777888778,0.8291708291708292,0.04861804861804864
1.0,HMG1,166,0.8787671232876711,0.8243150684931507,0.05445205479452042
1.0,HRD1,164,0.8777888777888778,0.8231768231768233,0.05461205461205454
1.0,MNN2,164,0.8820326678765881,0.8261343012704174,0.055898366606170646
1.0,MNS1,142,0.896,0.827764705882353,0.06823529411764706
1.0,OST3,146,0.8734126984126984,0.8103174603174603,0.0630952380952381
1.0,OST5,146,0.8908730158730159,0.8380952380952381,0.05277777777777781
1.0,PCT1,166,0.8794745484400657,0.825944170771757,0.053530377668308704
1.0,PMT1,166,0.8794745484400657,0.825944170771757,0.053530377668308704
1.0,PMT2,166,0.8794745484400657,0.825944170771757,0.053530377668308704
1.0,PSD2,166,0.8794745484400657,0.825944170771757,0.053530377668308704
1.0,ROT2,146,0.884790716949855,0.8246995441359304,0.06009117281392462
1.0,SEC22,164,0.8777888777888778,0.8268398268398269,0.05094905094905089
1.0,STP22,162,0.8788732394366197,0.8278169014084507,0.051056338028169
1.0,TLG2,164,0.8777888777888778,0.8318348318348319,0.04595404595404595
1.0,UBC7,164,0.8777888777888778,0.8231768231768233,0.05461205461205454
1.0,UFD2,164,0.8777888777888778,0.8228438228438228,0.05494505494505497
1.0,VPS28,162,0.8788732394366197,0.821830985915493,0.057042253521126685
0.5,ALG12,146,0.7070037297969332,0.7542478242851223,-0.047244094488189115
0.5,ALG3,146,0.6937422295897222,0.7314546208039785,-0.03771239121425629
0.5,ALG5,146,0.7261284722222221,0.7586805555555555,-0.03255208333333337
0.5,ALG6,146,0.6880984952120383,0.7264021887824897,-0.03830369357045149
0.5,ALG8,146,0.7036023711810305,0.7305061559507524,-0.026903784769721883
0.5,ALG9,146,0.7447115384615385,0.71875,0.02596153846153848
0.5,ANP1,164,0.7139745916515425,0.7535390199637024,-0.039564428312159894
0.5,BTS1,166,0.7071917808219178,0.7184931506849315,-0.011301369863013666
0.5,CWH41,146,0.7065893079154579,0.7451305428926648,-0.03854123497720685
0.5,DIE2,146,0.7104423164614684,0.7259461924304605,-0.015503875968992165
0.5,DOA4,162,0.718338399189463,0.7328605200945627,-0.014522120905099745
0.5,GCS1,162,0.7200270178993583,0.7338736913204998,-0.013846673421141542
0.5,GOS1,164,0.710955710955711,0.7312687312687313,-0.02031302031302029
0.5,HMG1,166,0.7071917808219178,0.7184931506849315,-0.011301369863013666
0.5,HRD1,164,0.7106227106227105,0.7262737262737262,-0.015651015651015676
0.5,MNN2,164,0.7070780399274045,0.7393829401088929,-0.03230490018148846
0.5,MNS1,142,0.7247058823529412,0.7562352941176471,-0.03152941176470592
0.5,OST3,146,0.7031746031746031,0.7071428571428572,-0.003968253968254065
0.5,OST5,146,0.7170634920634921,0.7432539682539683,-0.02619047619047621
0.5,PCT1,166,0.7139573070607552,0.7310344827586207,-0.017077175697865488
0.5,PMT1,166,0.7136288998357962,0.7316912972085385,-0.01806239737274229
0.5,PMT2,166,0.7136288998357962,0.7316912972085385,-0.01806239737274229
0.5,PSD2,166,0.7139573070607552,0.7310344827586207,-0.017077175697865488
0.5,ROT2,146,0.7202652300041441,0.722337339411521,-0.0020721094073768986
0.5,SEC22,164,0.7126207126207126,0.7306027306027306,-0.01798201798201804
0.5,STP22,162,0.7140845070422535,0.7306338028169015,-0.016549295774648032
0.5,TLG2,164,0.7129537129537129,0.7362637362637362,-0.023310023310023298
0.5,UBC7,164,0.7122877122877123,0.7259407259407259,-0.013653013653013635
0.5,UFD2,164,0.7069597069597069,0.7252747252747253,-0.01831501831501836
0.5,VPS28,162,0.7126760563380281,0.7274647887323943,-0.014788732394366177
0.0,ALG12,146,0.8810609200165769,0.8168255283878989,0.06423539162867797
0.0,ALG3,146,0.8686282635723166,0.8081226688769166,0.060505594695399956
0.0,ALG5,146,0.8815104166666666,0.8190104166666666,0.0625
0.0,ALG6,146,0.8878248974008208,0.8162334701322389,0.07159142726858192
0.0,ALG8,146,0.8636570907432741,0.7920656634746922,0.07159142726858192
0.0,ALG9,146,0.8634615384615385,0.7923076923076924,0.07115384615384612
0.0,ANP1,164,0.8802177858439202,0.8185117967332123,0.061705989110707904
0.0,BTS1,166,0.8671232876712329,0.7976027397260275,0.06952054794520546
0.0,CWH41,146,0.8707003729796933,0.8180687940323248,0.052631578947368474
0.0,DIE2,146,0.8545371637026904,0.7952576379388965,0.05927952576379392
0.0,DOA4,162,0.8693009118541033,0.8095238095238094,0.059777102330293874
0.0,GCS1,162,0.8743667679837892,0.8132387706855791,0.06112799729821006
0.0,GOS1,164,0.8694638694638694,0.8088578088578089,0.06060606060606055
0.0,HMG1,166,0.8671232876712329,0.7976027397260275,0.06952054794520546
0.0,HRD1,164,0.8681318681318682,0.8045288045288046,0.06360306360306356
0.0,MNN2,164,0.8740471869328493,0.802540834845735,0.07150635208711431
0.0,MNS1,142,0.8936470588235293,0.828235294117647,0.06541176470588239
0.0,OST3,146,0.8626984126984127,0.7896825396825397,0.07301587301587309
