q,auc_joint,auc_additive,gain,rank_gain_sum,rank_improvements,rank_losses,direction_fixed,direction_broken
1.0,0.8811143505021056,0.8276643990929706,0.053449951409135,165.0,298,133,4,0
0.5,0.7120181405895691,0.7324263038548753,-0.020408163265306145,-63.0,406,469,5,1
0.0,0.8717201166180758,0.8075801749271138,0.06413994169096204,198.0,348,150,3,0
