pair,sha256,context_permitted
ALG5|CWH41,9cc1e6e6975e6a2cc4f5d1d63d972b1bf0e8dbe5d76afb69b6d30ed69d910ff6,False
ANP1|MNS1,a0960723ffb11e5c2df0ba43a1ad8c957a389c93e9e705593a6dee9bc339a680,False
OST5|ROT2,a0bbfcc13c309c9284d1debc19bcd1094cef9cd3e01bdf76a1e81fd21be1074c,False
OST3|OST5,a192aca241d71cba898eceeabd055e222825325d09c8d53de05d4d1c550a809c,False
ALG9|CWH41,a1df6aadf57e42fe05ac8e40a2dd1fa81936bf16445aff6ad724f02983515127,False
ALG8|OST3,a757e32def0573d158403dc5bb002eb54d3abb13f5daa24f4ccf5e60b621ae6e,False
ALG5|ALG9,a8787ca43515687c601126ab5a34da7ad1ea4f3de66add061d6451715a68a683,False
ALG12|MNS1,b00ce7db56d4f46e85aa03811c62eca101a298263bdce9a0ed6bb8648f26b631,False
ALG8|ALG9,b28563c167b7096fb434926bf625c434db921ece21997d6ba11f140a59628064,False
ALG3|DIE2,b4bb373f494de459cc5d1ee7df59d0c177cbb857f73a0bf36fa868ecd13cf526,False
UBC7|UFD2,bdd2cf09cdea6d28c62f8ba5e5d8b58618c819e8199b7b2955918ecc2b0a07be,False
ALG6|ROT2,c14c18811b103bcab102a3075397922d25b23a42bd170b39cc2966fdda55e26e,False
ALG12|DIE2,c366679c0ea53122ea53ad27bb4d5653105b5ac7f52616e62f27bb9a885dbd64,False
PMT1|PMT2,c546b42a7c81b4da75b047a57c5824f37de557b8bb4fc5d4292df69d5e2558f4,False
ALG12|ROT2,ca0922bb2738fc26ff97fe4f9b4b04191072efd7425a2d427f35bdbd40a59e75,False
ALG9|OST3,d07fc240db635f393aa548dff0ab0356521c116ec7bcdef299680d86223c7baf,False
DOA4|VPS28,d0fd578ebd17931ca782f655720b59a354acc4f427eb85becfabd54e80fa5a50,False
CWH41|DIE2,d4a7255187c38e49c6cf7146d5afc7a447b956413bc807669d1fd3656b680e11,False
GCS1|STP22,d7bb1d51647c2e78840518de3baf205004347e217db2bb131c61811e22da7d8f,False
CWH41|OST5,d8fcd2fede9d14ff1f79c276acc23cca81cd951d5481c7448de25416ec193463,False
ALG5|DIE2,dba81c1bc7610e3f0be221c1794ee95f5db94c0768c86a1725b19bb0f5446ffb,False
MNN2|MNS1,dbde659f030f0f8ddddb93b16e299ef1d28c361043629594fdbb29b29e280ca2,False
ALG12|ALG9,ddac72d29e7faf3e51e7cdb0e38f8e78022d3c809a78851321763b7aa522634d,False
ALG3|ALG5,df42d3525f99fd1ef7b42e850c07352b4ca7b647645f65dbcbfa4d8dffc655d7,False
ALG6|CWH41,e14a5114fa498d586c1a3f68616afbd3fa0d08292bc76234b9bccc9fed038309,False
ALG3|ROT2,e352c48076a972a78138980c99b260fe95328f842cadfc3b76ac6d904230a49e,False
BTS1|HMG1,e660eb8c345f22b1b3446367890ce79fbb52551973caa5c609ca0edb27b04236,False
ALG12|OST3,ea91ec1e680b8025e19f456581206ff872cd56af70d652e3569fc22e6e50e7ec,False
SEC22|TLG2,eb9c03c9dcdcf949ef9a9b7dc700838fc74a2f40110eb22c76570bccc2db9471,False
ALG6|DIE2,ec9c8c20a5e259f0ad3ce0a0c0d1bf2756aeefc6afc8bad42743406993e8395d,False
ALG9|DIE2,ed3acbe4a0de2c93ef11f2623e7ff1c146110663419cc573ead51f9a8072352e,False
MNS1|OST3,f873e657c4590c592e84391e09e026a7ea089d570ae42c505df62b3d10c9d9fa,False
