panel,a,b,label,unordered_pair,single_a,single_b,double,expected_no_interaction,n_measurements,double_observed,red_released,red_reverse,red_exchange_error,red_point_distance,raw_mask,single_only,P_score,P_available,P_feature_log_variance,P_feature_skew,P_feature_kurtosis,P_feature_log_witness_count,P_feature_nonlinear,pair
KEGG,MNS1,CWH41,1,CWH41|MNS1,0.2144741427093724,0.6157176119848133,,0.8259749032624731,0,False,0.5445662710340402,0.4525020860460372,0.0029316429199226,0.572989636304747,0.0,-0.4012434692754408,-0.5581433409068649,True,0.3101709577228941,-0.2771623151864466,-1.5654544128602748,0.4054651081081646,-0.6065380194207666,CWH41|MNS1
KEGG,ROT2,CWH41,1,CWH41|ROT2,0.6904081231682184,0.6157176119848133,0.7576760420393449,1.2900451033008986,1,True,0.5000422689454913,0.4999577279486727,3.105836032801789e-09,0.4871361547543147,-0.074690511183405,0.074690511183405,0.3941276686001568,True,0.0215534505927177,1.1558127237384872,-4.963719313672028,-0.4700036292457354,-0.2468664522152453,CWH41|ROT2
KEGG,MNS1,MNN2,1,MNN2|MNS1,0.2144741427093724,0.6621729741210333,,0.8720336742200989,0,False,0.5594666012883889,0.4354599641839648,0.0050734345276463,0.5809888696818883,0.0,-0.4476988314116608,-3.1535420068883417,True,1.1212703816370468,-0.9757831396511348,3.850110308659629,2.4849066497880004,-0.1056358787909746,MNN2|MNS1
KEGG,ANP1,MNN2,1,ANP1|MNN2,0.0,0.6621729741210333,,0.0,1,False,0.6107578920823579,0.3665315308696448,0.0227105770479973,0.6047656777851466,0.0,-0.6621729741210333,-0.0497846075956961,True,-0.0226801855475216,0.6920795515190846,-1.1530413733783136,0.0,0.1347434817932315,ANP1|MNN2
KEGG,MNS1,ROT2,1,MNS1|ROT2,0.2144741427093724,0.6904081231682184,1.3223140420393449,0.9000215195864774,1,True,0.5424960951507545,0.454634891680355,0.0028690131688905,0.5856697198958934,0.475933980458846,-0.4759339804588459,-0.9492012630520194,True,0.2886175071301764,-1.4329750389249338,3.3982649008117534,0.8754687373539001,0.4272016062634352,MNS1|ROT2
KEGG,STP22,VPS28,1,STP22|VPS28,0.3623650083769404,0.7089474274544649,,1.0623714820159569,0,False,0.5579420051653728,0.4331724792177484,0.0088855156168787,0.550285854010412,0.0,-0.3465824190775245,0.1381316054024177,True,-0.3824656670816448,0.7471597258708814,0.5041691203886778,0.0,-0.0768636573772755,STP22|VPS28
KEGG,HMG1,BTS1,1,BTS1|HMG1,0.296249456692819,0.7699315089777822,1.9648210698047568,1.0582465501129743,1,True,0.573949774228446,0.4158342011572811,0.0102160246142729,0.5777761192078233,0.4736820522849632,-0.4736820522849631,-3.424844601734596,True,1.132498112992362,-0.4723831564003333,1.7066126674166835,2.70805020110221,-0.1163420566000502,BTS1|HMG1
KEGG,DIE2,ALG5,1,ALG5|DIE2,1.323400595972287,1.7317384406664271,1.856713,2.8920776460136843,2,True,0.5475412936103948,0.4461294238958579,0.0063292824937472,0.5597137783257123,0.4083378446941401,-0.4083378446941401,2.2456775762859498,True,-0.366001422082598,1.4139609014294003,-3.867615900728553,-2.079441541679836,-0.2066357736391214,ALG5|DIE2
KEGG,ALG8,ALG5,1,ALG5|ALG8,2.074264339602236,1.7317384406664271,1.9342515,3.4774630697436786,2,True,0.4652941981556176,0.531446004224815,0.0032597976195674,0.4499044341987681,-0.0625002197313377,0.3425258989358084,0.6630119316639558,True,-0.0128893686427584,0.7481417689900792,-2.0221452056022216,-0.6931471805599452,0.1979046080982643,ALG5|ALG8
KEGG,ALG6,ALG5,1,ALG5|ALG6,2.5299364083909355,1.7317384406664271,2.137458,3.796683622929165,2,True,0.3954256963742457,0.48104836092154,0.1235259427042143,0.3774467523881951,-0.0132411509426366,0.7981979677245084,0.9292108341262078,True,-0.1843132099641202,1.7267588600787915,0.4431353263632767,-0.9808292530117262,-0.6514517290634322,ALG5|ALG6
